Format Version,1.23,Take Name,Take 2023-08-18 03.00.49 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-08-18 03.00.50.093 AM,Capture Start Frame,177424,Total Frames in Take,359,Total Exported Frames,359,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,ur5,ur5,ur5,ur5,ur5,ur5,ur5,nist_board,nist_board,nist_board,nist_board,nist_board,nist_board,nist_board
,ID,72E62E473D9311EE711CCB4F034C1DA8,72E62E473D9311EE711CCB4F034C1DA8,72E62E473D9311EE711CCB4F034C1DA8,72E62E473D9311EE711CCB4F034C1DA8,72E62E473D9311EE711CCB4F034C1DA8,72E62E473D9311EE711CCB4F034C1DA8,72E62E473D9311EE711CCB4F034C1DA8,7D6AE1B73D9311EE711CCB4F034C1DA8,7D6AE1B73D9311EE711CCB4F034C1DA8,7D6AE1B73D9311EE711CCB4F034C1DA8,7D6AE1B73D9311EE711CCB4F034C1DA8,7D6AE1B73D9311EE711CCB4F034C1DA8,7D6AE1B73D9311EE711CCB4F034C1DA8,7D6AE1B73D9311EE711CCB4F034C1DA8
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
0,0.000000,-0.000036,-0.000208,-0.000135,1.000000,-1.184543,-0.038872,0.351036,0.000028,0.000010,0.000056,1.000000,-1.029620,-0.147357,0.885916
1,0.008000,-0.000034,-0.000193,-0.000220,1.000000,-1.184534,-0.038878,0.351034,0.000061,0.000005,0.000001,1.000000,-1.029607,-0.147366,0.885916
2,0.017000,-0.000033,-0.000164,-0.000111,1.000000,-1.184535,-0.038883,0.351023,0.000022,0.000018,0.000037,1.000000,-1.029617,-0.147335,0.885913
3,0.025000,-0.000101,-0.000168,-0.000054,1.000000,-1.184529,-0.038868,0.351030,0.000011,0.000027,0.000050,1.000000,-1.029600,-0.147319,0.885920
4,0.033000,-0.000041,-0.000142,-0.000063,1.000000,-1.184529,-0.038853,0.351025,0.000027,0.000048,0.000026,1.000000,-1.029599,-0.147324,0.885907
5,0.042000,-0.000020,-0.000161,-0.000198,1.000000,-1.184527,-0.038856,0.351024,0.000014,0.000033,0.000034,1.000000,-1.029610,-0.147330,0.885915
6,0.050000,-0.000007,-0.000158,-0.000256,1.000000,-1.184536,-0.038872,0.351031,0.000044,0.000037,-0.000029,1.000000,-1.029610,-0.147353,0.885916
7,0.058000,-0.000007,-0.000112,-0.000230,1.000000,-1.184530,-0.038886,0.351034,0.000031,0.000016,-0.000021,1.000000,-1.029617,-0.147354,0.885929
8,0.067000,-0.000054,-0.000111,-0.000183,1.000000,-1.184532,-0.038889,0.351030,0.000029,0.000018,0.000008,1.000000,-1.029622,-0.147349,0.885938
9,0.075000,-0.000041,-0.000137,-0.000192,1.000000,-1.184541,-0.038875,0.351035,0.000033,0.000031,0.000028,1.000000,-1.029612,-0.147351,0.885933
10,0.083000,-0.000016,-0.000145,-0.000121,1.000000,-1.184543,-0.038884,0.351039,-0.000000,0.000018,0.000047,1.000000,-1.029611,-0.147333,0.885922
11,0.092000,0.000046,-0.000138,-0.000251,1.000000,-1.184528,-0.038880,0.351034,0.000005,0.000054,0.000049,1.000000,-1.029604,-0.147339,0.885915
12,0.100000,-0.000071,-0.000159,-0.000254,1.000000,-1.184514,-0.038882,0.351024,0.000000,0.000044,0.000074,1.000000,-1.029604,-0.147335,0.885920
13,0.108000,-0.000007,-0.000110,-0.000264,1.000000,-1.184518,-0.038869,0.351025,0.000061,0.000024,0.000017,1.000000,-1.029601,-0.147335,0.885930
14,0.117000,0.000009,-0.000138,-0.000153,1.000000,-1.184529,-0.038866,0.351030,0.000025,0.000035,0.000044,1.000000,-1.029617,-0.147331,0.885909
15,0.125000,0.000027,-0.000140,-0.000130,1.000000,-1.184531,-0.038869,0.351035,0.000019,0.000031,0.000008,1.000000,-1.029610,-0.147337,0.885900
16,0.133000,0.000008,-0.000135,-0.000256,1.000000,-1.184523,-0.038875,0.351028,0.000009,0.000037,0.000043,1.000000,-1.029616,-0.147332,0.885912
17,0.142000,-0.000006,-0.000112,-0.000299,1.000000,-1.184517,-0.038887,0.351027,-0.000007,0.000034,0.000069,1.000000,-1.029618,-0.147334,0.885914
18,0.150000,-0.000052,-0.000125,-0.000255,1.000000,-1.184527,-0.038892,0.351024,0.000064,0.000036,-0.000001,1.000000,-1.029605,-0.147348,0.885913
19,0.158000,-0.000044,-0.000139,-0.000101,1.000000,-1.184536,-0.038882,0.351028,0.000014,0.000034,0.000043,1.000000,-1.029614,-0.147331,0.885902
20,0.167000,-0.000004,-0.000109,-0.000085,1.000000,-1.184532,-0.038869,0.351031,0.000004,0.000052,0.000015,1.000000,-1.029611,-0.147323,0.885899
21,0.175000,-0.000027,-0.000126,-0.000131,1.000000,-1.184526,-0.038872,0.351031,0.000037,0.000058,-0.000021,1.000000,-1.029594,-0.147331,0.885903
22,0.183000,-0.000022,-0.000144,-0.000137,1.000000,-1.184511,-0.038880,0.351022,0.000007,0.000061,0.000054,1.000000,-1.029597,-0.147326,0.885895
23,0.192000,-0.000066,-0.000152,-0.000107,1.000000,-1.184513,-0.038881,0.351024,0.000013,0.000044,0.000068,1.000000,-1.029604,-0.147329,0.885894
